layer,0,1,2,3,4,5,6,7,8,9,10,11,12
ur-fr,0.21033514851754745,0.23181300696254034,0.26490615555485864,0.30675841635969775,0.3441367300026201,0.3784826318730009,0.3928793824783045,0.38930703281231616,0.38838545108195976,0.37533655322806425,0.3490671888481632,0.3214048811066644,0.31337047056306605
ur-de,0.22165557561490865,0.24177535468308708,0.2697079506234212,0.30532112688730634,0.3359751236683343,0.36629526023977693,0.3792728892085726,0.38059664318496966,0.3822626358725416,0.36804061222726925,0.3367641504917685,0.30989235912421337,0.3031735679795255
ur-es,0.22365727836777002,0.23994951027528028,0.26718735021998086,0.3079584453195272,0.33894320918619114,0.3670459854710035,0.37844900267059944,0.37386268969801306,0.3663471815336885,0.35428875643425733,0.3299227655300027,0.2999010919365891,0.2808929712775933
hi-sw,0.28530237519254714,0.2512250151424906,0.2703072747747708,0.2616577740140114,0.25932259961439813,0.278073003359084,0.31119036728210786,0.28817189767298246,0.2770718364564985,0.26885463321492,0.2518001215108932,0.21707297626620103,0.20432033067277028
hi-th,0.2786954504118081,0.24825624892785456,0.2932310786189765,0.2916308760313725,0.3167636555245642,0.3308818322742071,0.3398150344290672,0.306470296327424,0.2875729820872175,0.28185636017573357,0.2560658342237981,0.22740729775909263,0.21909329377506961
hi-fr,0.3193734877967678,0.314490026360039,0.3625430872561315,0.3904212871336583,0.42271314873006793,0.4413904370082379,0.49110538108217855,0.4742408634208574,0.4616486994038337,0.4334478628533263,0.40400797727864773,0.3709217715902229,0.36238209947410005
hi-de,0.34253120398567316,0.3330794672019439,0.37710899640079143,0.4070737122204248,0.43205385363506116,0.44619920377549077,0.49122424747209903,0.47525428792146296,0.4667177620546637,0.4351312423102294,0.40503427733142267,0.37207759797088635,0.3571250740573353
hi-es,0.36067135372761616,0.34136201044080966,0.38919119858225054,0.41746448137663267,0.4405823736058775,0.45241400005004995,0.4937570039977797,0.47250095064566855,0.4584272796350057,0.43463954930164567,0.4069450476271283,0.36949060209747076,0.34163671983122323
sw-th,0.2476051706793485,0.2464948043547851,0.2765116816558197,0.27568918552719074,0.3083109983732962,0.33649657050026266,0.3356203589940531,0.2962512704909083,0.2723964903982069,0.2752118334261143,0.24314747539971857,0.2097454933781221,0.20263067281043512
sw-fr,0.30633008087813024,0.3216846606193056,0.31265460638292575,0.3137761186899729,0.3331908722206264,0.3682045000385963,0.40419280147462017,0.38743135637450166,0.36926075744634956,0.35381167838074695,0.32472563408031757,0.2676076912598672,0.26221539978439756
sw-de,0.3144354263585965,0.32050037829372435,0.30706817184654456,0.31805540225438483,0.3411390491231901,0.3744094202516287,0.4064985048548195,0.3815285636487604,0.3609967651999129,0.34085206995185824,0.31385195642220326,0.2575480247476884,0.24923627121692646
sw-es,0.35773525066576795,0.3671991176181565,0.3618422742601848,0.3698181264134165,0.3897442940029565,0.41662699954658666,0.4369781230477765,0.4138195133773348,0.39163287365824995,0.37476834229076844,0.34190371148887844,0.29224052027306024,0.2754307146129094
th-fr,0.2789533725263381,0.29252485219643265,0.33255714109605183,0.35089139114949747,0.405887178396199,0.44902095157871813,0.4452583532365552,0.39895336313535656,0.37577017911293664,0.36750879810965037,0.33608273370470754,0.29331974786079684,0.28878907593109415
th-de,0.2918580959913136,0.30362440335819213,0.3352972725807216,0.3515382514074061,0.40622393809701535,0.4443706704688249,0.43886996521444704,0.3937427827020342,0.37107794363896124,0.3575218017206226,0.32504407447851524,0.28189143338248124,0.2861501490186247
th-es,0.3010748200428752,0.31071093393828003,0.35397176253018986,0.37391342893062546,0.42936298178529225,0.46062065273636316,0.44865163104326927,0.3980553283242431,0.3695467605849032,0.36346149741039147,0.33016482128334307,0.28721675759047066,0.2737471468198613
fr-de,0.46321511139352334,0.4933235681521095,0.5422152336750048,0.6110952029968644,0.6579226511822162,0.7019620009609626,0.7472068605765979,0.7487200389145018,0.7383882894194596,0.7228384671866844,0.692217632969128,0.6409921663960356,0.6331270160734465
fr-es,0.5490558742785134,0.564361072314393,0.6058253327440194,0.660789284405751,0.7026467127094017,0.7415488817792186,0.7800376123367723,0.7719745574661865,0.7611064253696372,0.7458309382795024,0.717003638390742,0.6601729962338903,0.6503785986695355
de-es,0.4935872867592518,0.518797368976757,0.5590257400172526,0.6311870547192941,0.6717197121693667,0.7115387826566483,0.7417896238191504,0.7283995617982361,0.7133962900148342,0.6937073926256541,0.666212477169046,0.6141063051872697,0.5862475169542171
